episode,loss,reward,distance,num_vehicles,customers_served
128,-inf,-8977.34573995593,4823.457399559309,10,101
129,-inf,-9510.771460058451,4157.7146005845125,10,101
130,inf,-8422.763866409208,4277.638664092087,10,101
131,inf,-7668.926916421893,4239.269164218931,11,101
132,-inf,-8923.941069278768,4289.410692787681,10,101
133,-inf,-9835.600550477835,4406.005504778356,10,101
134,-inf,-9060.560308804977,4655.603088049775,10,101
135,-inf,-10476.408070889278,4814.080708892781,10,101
136,inf,-5256.596983722898,4115.969837228978,11,101
137,-inf,-9298.83488216936,4038.3488216936034,10,101
138,-inf,-9313.056460660904,4180.564606609048,10,101
139,-inf,-9778.944013258504,3339.4401325850445,9,101
140,-inf,-9233.669528678336,4886.695286783359,11,101
141,-inf,-9623.051154981675,4280.511549816751,10,101
142,inf,-8613.486992949234,4184.869929492347,10,101
143,inf,-8296.802325080203,3518.0232508020404,9,101
144,-inf,-9014.024874051862,4190.248740518623,10,101
145,inf,-8547.245306191207,4522.4530619120715,10,101
146,-inf,-9998.956068514413,3539.5606851441344,9,101
147,-inf,-9147.724234575262,5027.242345752616,11,101
148,inf,-8833.41421843092,3884.1421843092007,11,101
149,-inf,-9943.755478020063,3487.554780200623,8,101
150,inf,-5200.370423604161,4053.704236041618,10,101
151,inf,-8628.99953390568,4839.995339056804,11,101
152,-inf,-9746.809039048529,4518.090390485291,10,101
153,inf,-7716.376464396031,4213.764643960301,10,101
154,-inf,-10007.158044778089,4621.580447780884,9,101
155,inf,-7876.5271356708745,4315.271356708747,11,101
156,-inf,-9476.79347203064,3817.934720306413,10,101
157,-inf,-8841.046781304914,3460.467813049153,8,101
158,inf,-7541.518116605965,3965.181166059644,11,101
159,-inf,-10030.495301763365,4354.953017633652,10,101
160,inf,-8356.51098705532,4115.10987055321,11,101
161,-inf,-9983.965221168884,4889.65221168885,10,101
162,inf,-8397.604491117243,4026.04491117242,10,101
163,inf,-8702.046382718108,3570.4638271810827,9,101
164,-inf,-9487.442871309353,3424.4287130935368,9,101
165,-inf,-9604.970910946426,4099.70910946426,10,101
166,inf,-5996.695401039497,4516.954010394965,11,101
167,-inf,-9573.217946587212,4782.17946587213,10,101
168,-inf,-10144.87524198686,4498.752419868598,10,101
169,-inf,-10246.497867852278,3514.9786785227902,8,101
170,inf,-7442.5225464970135,3975.2254649701395,11,101
171,-inf,-9854.742529991856,4597.425299918557,10,101
172,inf,-8903.063589095018,3580.6358909501737,9,101
173,-inf,-9102.135204521153,4071.352045211535,10,101
174,-inf,-9918.63057168015,4236.3057168015075,10,101
175,inf,-8898.916708046152,4539.167080461513,11,101
176,-inf,-9289.270291618275,3942.7029161827445,10,101
177,-inf,-9203.804467498481,4088.044674984822,10,101
178,-inf,-9311.757746050362,4167.57746050361,10,101
179,inf,-9035.478440308361,4404.784403083607,10,101
180,-inf,-9511.817440558088,3668.1744055808904,9,101
181,-inf,-9332.10122578547,3871.0122578547134,9,101
182,inf,-9136.242085436983,4412.420854369823,10,101
183,-inf,-9684.98191554641,3899.819155464109,10,101
184,inf,-8398.28289835125,4032.8289835124924,10,101
185,-inf,-9480.180467140885,4351.804671408843,11,101
186,-inf,-9799.897469213378,3548.974692133783,9,101
187,-inf,-10092.408759276324,4974.087592763236,10,101
188,-inf,-10019.531881585366,3245.318815853668,8,101
189,-inf,-9415.532053843988,4205.3205384398925,10,101
190,-inf,-9724.750430308983,4297.504303089832,10,101
191,inf,-8261.872844037323,4668.72844037324,10,101
192,-inf,-10388.540436098361,4935.404360983614,10,101
193,inf,-5511.2094514499395,4162.094514499397,10,101
194,-inf,-9856.796951702145,4617.969517021448,10,101
195,inf,-8908.092148467233,4130.921484672316,10,101
196,-inf,-9670.476451574308,4254.7645157430725,11,101
197,-inf,-9548.280688569597,3532.8068856959676,8,101
198,inf,-9063.301478428806,4183.014784288058,11,101
199,-inf,-9273.376524125462,4783.765241254632,10,101
200,inf,-8974.914342695858,4799.143426958572,10,101
201,-inf,-9350.438450991152,4554.38450991152,10,101
202,inf,-8418.882429818383,4238.8242981838175,10,101
203,-inf,-9344.750945510466,3497.5094551046736,8,101
204,inf,-8558.613935415622,4136.139354156216,11,101
205,inf,-8825.430725949933,4304.307259499325,10,101
206,inf,-8442.01464440052,4470.146444005205,10,101
207,-inf,-9414.465181766049,4194.651817660479,10,101
208,inf,-8428.128558191629,4331.285581916298,10,101
209,-inf,-9856.33167255454,5113.3167255453845,11,101
210,-inf,-9989.767449732548,3947.6744973254717,10,101
211,inf,-8863.108841079495,4181.088410794953,11,101
212,-inf,-9217.6812112628,4226.8121126279975,10,101
213,-inf,-9242.627841890211,3476.278418902109,8,101
214,-inf,-9552.296340026069,4572.963400260682,10,101
215,-inf,-9816.795338271932,4717.953382719315,11,101
216,-inf,-9321.546752467235,4265.467524672347,10,101
217,inf,-7330.517301168072,3855.1730116807194,11,101
218,-inf,-9413.896617157548,4188.966171575476,10,101
219,-inf,-9922.98080868651,3279.8080868651073,8,101
220,-inf,-10032.730985520899,3377.3098552089823,8,101
221,inf,-8608.52978618844,3635.297861884396,9,101
222,-inf,-9890.644976927711,4956.449769277114,10,101
223,inf,-8215.242628898139,4702.426288981383,11,101
224,-inf,-9905.707802419201,3607.078024192023,9,101
225,-inf,-9837.670899740417,3426.7089974041583,8,101
226,inf,-8006.714144310001,4117.141443099997,10,101
227,inf,-8757.996368514609,4629.963685146084,10,101
228,-inf,-10160.489975103508,3654.8997510350814,8,101
229,-inf,-9915.592673646855,4705.926736468551,11,101
230,-inf,-9764.879473135126,4698.794731351258,10,101
231,inf,-7003.747830582295,4087.4783058229477,10,101
232,-inf,-9196.471829226537,5014.718292265367,10,101
233,inf,-8874.869533619478,4298.695336194777,11,101
234,-inf,-9669.167871989182,4741.678719891822,10,101
235,-inf,-9853.821989829432,4588.21989829432,10,101
236,inf,-8862.050472190162,4670.50472190161,10,101
237,inf,-6514.755073297009,4197.550732970091,10,101
238,-inf,-9570.375092034943,4253.750920349431,11,101
239,-inf,-9993.747405381535,3487.4740538153396,9,101
240,-inf,-9603.131318182619,3581.3131818261836,9,101
241,-inf,-9659.353917129138,3643.539171291367,8,101
242,-inf,-9479.563411073646,3845.6341107364556,10,101
243,inf,-9211.107475586696,4161.074755866951,10,101
244,inf,-8097.699380150305,4026.9938015030593,10,101
245,-inf,-9429.99853624993,4349.9853624993075,10,101
246,inf,-5804.117726377328,4091.1772637732824,10,101
247,-inf,-9710.499011340671,4154.990113406705,10,101
248,-inf,-9259.42869701458,4144.286970145801,11,101
249,inf,-8708.505329092837,4135.053290928372,10,101
250,inf,-5405.220941281163,4102.2094128116305,10,101
251,-inf,-9492.890690518363,3478.906905183634,9,101
252,-inf,-8981.805937702422,4368.0593770242185,11,101
253,inf,-8658.627813473313,4136.27813473313,11,101
254,-inf,-9425.823763886923,4308.237638869227,10,101
255,-inf,-10102.810439607438,5078.104396074383,10,101
256,inf,-8760.180866411732,4651.808664117331,10,101
257,-inf,-9479.95069333723,4349.506933372307,11,101
258,inf,-8536.677613519516,4416.776135195153,10,101
259,-inf,-9723.13673562273,4281.367356227289,10,101
260,inf,-7098.674861733508,4036.7486173350803,10,101
261,-inf,-9434.680411927588,4396.804119275878,10,101
262,-inf,-8988.159151110973,3431.591511109731,9,101
263,inf,-6598.495284970821,4034.9528497082056,10,101
264,-inf,-9499.543340961034,5045.4334096103385,10,101
265,-inf,-8879.842521952196,4848.425219521967,10,101
266,-inf,-9300.601233815845,4056.0123381584467,10,101
267,-inf,-9295.03339004939,3500.3339004939,9,101
268,inf,-8818.396371591538,4233.963715915387,10,101
269,inf,-8174.041614206137,4290.41614206137,11,101
270,-inf,-9782.728041607477,3377.280416074778,9,101
271,inf,-8659.394827745044,4143.948277450429,11,101
272,-inf,-9952.3612488632,3573.6124886320104,8,101
273,inf,-7971.253931981419,4262.539319814192,11,101
274,-inf,-9171.669614324084,4766.696143240834,10,101
275,-inf,-9195.677209161368,4006.772091613668,10,101
276,-inf,-9780.794407820951,3357.944078209504,9,101
277,-inf,-9520.617690462848,4756.176904628491,9,101
278,-inf,-9315.622132167215,4206.221321672139,10,101
279,-inf,-9144.481440650074,4494.814406500746,10,101
280,inf,-6254.706789920549,4097.0678992054945,11,101
281,-inf,-10043.911827122382,3489.1182712238237,8,101
282,-inf,-9423.21710501539,4782.171050153901,11,101
283,-inf,-10074.591878582525,4795.918785825254,10,101
284,-inf,-9724.909829630753,4299.098296307527,10,101
285,-inf,-9732.713292128774,4377.132921287742,10,101
286,inf,-8637.624334998029,4426.243349980286,10,101
287,-inf,-9275.983726066144,4809.837260661444,10,101
288,-inf,-9961.204156642507,3662.041566425062,8,101
289,inf,-9204.281541797258,4092.8154179725757,10,101
290,-inf,-9758.429693644113,3634.296936441124,8,101
291,inf,-8703.918002469394,4089.180024693944,10,101
292,-inf,-9498.302426334587,4033.0242633458747,10,101
293,-inf,-9929.068978362047,4340.6897836204835,10,101
294,inf,-8513.639206584954,4186.392065849541,10,101
295,inf,-8600.723976198718,3557.239761987189,9,101
296,inf,-6172.37399429683,4273.739942968292,11,101
297,-inf,-9547.842495489498,3528.4249548949774,8,101
298,-inf,-9970.115304187111,4751.15304187112,10,101
299,inf,-7098.247349037997,4032.473490379968,10,101
300,-inf,-9696.039498381358,4010.3949838135895,10,101
301,-inf,-9169.977954886748,4249.779548867477,11,101
302,inf,-5126.694055369315,4316.940553693144,10,101
303,-inf,-9862.780356938663,4677.803569386631,10,101
304,-inf,-9931.067169707556,4360.67169707555,10,101
305,-inf,-8871.835315674462,4768.353156744617,10,101
306,inf,-6543.9328732574395,4489.328732574394,10,101
307,-inf,-8686.015466857503,4910.154668575036,10,101
308,-inf,-9017.547958672729,4225.479586727291,10,101
309,-inf,-9213.682039095202,4186.820390952024,10,101
310,-inf,-9812.979844387235,4179.798443872359,10,101
311,-inf,-9914.585175051121,4195.851750511212,10,101
312,-inf,-9357.998103475573,3629.9810347557313,8,101
313,-inf,-9796.295503426869,3512.955034268696,9,101
314,-inf,-10298.745838934467,3537.458389344662,9,101
315,inf,-8486.770353991338,3417.703539913384,9,101
316,inf,-8892.912511307277,4979.125113072775,10,101
317,inf,-8967.49603850154,4224.960385015392,11,101
318,-inf,-9337.383542275149,3423.8354227514833,8,101
319,inf,-8856.388025015247,4613.880250152466,10,101
320,inf,-8364.560548092495,4695.605480924947,10,101
321,inf,-8736.114335281036,4411.143352810355,10,101
322,-inf,-9462.220120140728,4672.201201407284,10,101
323,-inf,-9757.652366857146,4626.523668571471,10,101
324,-inf,-9140.372356547614,4453.7235654761425,10,101
325,inf,-8751.252180894566,3562.5218089456534,8,101
326,inf,-5002.445650809328,4074.4565080932807,10,101
327,-inf,-9101.190375262937,3561.9037526293705,9,101
328,-inf,-9980.29646013593,4852.964601359299,10,101
329,-inf,-9872.944125209207,3279.4412520920655,9,101
330,-inf,-9044.562885583247,3495.6288558324686,8,101
331,inf,-6915.55332352217,4205.533235221706,10,101
332,inf,-6792.83539649212,3978.353964921196,10,101
333,-inf,-9405.528405491965,3605.28405491965,9,101
334,-inf,-10092.9517289026,4979.517289026006,10,101
335,-inf,-9995.122177625304,3501.221776253038,9,101
336,-inf,-9123.213459030101,4282.134590301004,10,101
337,inf,-5602.6519880708165,4076.519880708169,10,101
338,inf,-7294.8537890628995,3998.5378906289934,10,101
339,-inf,-9225.75995585695,4307.599558569501,10,101
340,inf,-8155.764766075994,3607.647660759936,8,101
341,-inf,-10093.82198500222,3488.219850022197,9,101
342,-inf,-9509.676531918738,3646.765319187374,9,101
343,-inf,-10165.195536041498,3701.9553604149824,8,101
344,-inf,-9421.083937773383,4760.839377733837,11,101
345,inf,-5610.768267444775,4157.682674447746,10,101
346,-inf,-8652.673088528547,4576.730885285478,10,101
347,-inf,-8908.981898872295,4139.818988722947,10,101
348,-inf,-9190.149800193443,4451.498001934427,11,101
349,inf,-5313.696821662803,4186.968216628033,10,101
350,inf,-8168.0505370448955,4730.50537044895,10,101
351,-inf,-9418.51742630397,4235.174263039699,10,101
352,-inf,-9098.719025897355,4037.190258973558,10,101
353,-inf,-9290.10441961648,3951.044196164799,10,101
354,-inf,-9849.470843960784,3544.708439607842,8,101
355,inf,-8259.510764725655,4645.107647256558,10,101
356,inf,-7968.0605333007625,4230.605333007635,11,101
357,inf,-4803.106962062615,4081.0696206261514,10,101
358,-inf,-9991.469668415502,3464.6966841550193,9,101
359,-inf,-9789.574857567824,3445.7485756782435,9,101
360,-inf,-8906.904796736328,4119.047967363276,10,101
361,-inf,-9027.963180200664,4329.631802006646,10,101
362,-inf,-9562.381521269712,3173.815212697114,9,101
363,-inf,-10077.074063009864,4820.740630098646,10,101
364,-inf,-9875.702320137778,4307.023201377776,11,101
365,-inf,-9483.206900628491,4882.069006284916,10,101
366,inf,-8795.134224485431,4001.342244854317,10,101
367,-inf,-9311.635542258009,3666.3554225800913,9,101
368,inf,-8912.811567169621,3678.1156716962105,9,101
369,-inf,-9361.39717173743,4663.971717374296,10,101
370,-inf,-9473.839441752638,3788.3944175263855,10,101
371,-inf,-10214.051396630199,3690.5139663019904,9,101
372,-inf,-9394.372888984462,3493.728889844624,9,101
373,-inf,-10035.091236639164,3400.912366391638,8,101
374,inf,-9014.409006696584,4194.09006696583,10,101
375,-inf,-9418.439569257062,4234.395692570618,10,101
376,inf,-9187.503320468795,4425.033204687946,11,101
377,inf,-9099.807111022054,3548.0711102205314,9,101
378,inf,-8075.867721511644,4808.677215116435,10,101
379,-inf,-10057.007713851388,3620.0771385138714,8,101
380,-inf,-10087.061285044156,3420.612850441558,9,101
381,inf,-7438.36106750584,3933.610675058396,11,101
382,-inf,-9372.40402767102,4774.040276710206,10,101
383,-inf,-9938.257426738513,3432.5742673851423,8,101
384,inf,-7815.833914438919,4208.3391443891915,10,101
385,-inf,-9319.301005481306,4243.010054813048,10,101
386,inf,-8430.493834275108,3354.9383427510897,8,101
387,-inf,-9218.765075139176,4237.650751391757,10,101
388,inf,-6922.100659977523,4271.006599775227,10,101
389,-inf,-9781.986831002578,4869.868310025771,10,101
390,-inf,-9689.070387559981,3440.7038755998087,9,101
391,inf,-8733.234406385018,4382.344063850174,10,101
392,inf,-8088.197054146776,3431.970541467762,9,101
393,-inf,-9675.19570912161,4801.957091216104,10,101
394,-inf,-10176.34482214125,3313.448221412489,9,101
395,-inf,-9450.464200476765,3554.642004767653,8,101
396,inf,-8051.855316896872,4568.553168968724,10,101
397,inf,-7150.641002004893,4056.4100200489293,11,101
398,inf,-8794.18968059131,3991.896805913091,10,101
399,-inf,-10244.948531290305,3499.485312903046,8,101
400,-inf,-9551.603455054405,4566.034550544047,10,101
401,-inf,-9968.817380507811,4738.173805078112,10,101
402,-inf,-10005.997297142649,4609.972971426485,9,101
403,inf,-8822.932840931606,4279.328409316065,10,101
404,-inf,-10266.674392383917,4716.743923839177,10,101
405,inf,-7180.157928625382,3851.5792862538187,10,101
406,inf,-7957.731432574865,4127.314325748652,11,101
407,inf,-8533.117458508901,4381.174585089015,10,101
408,-inf,-9851.590813157463,3565.9081315746334,8,101
409,inf,-8755.650249396826,3606.502493968263,8,101
410,-inf,-10239.813048044898,3448.130480448983,8,101
411,-inf,-9705.550954884171,4105.509548841715,10,101
412,inf,-9079.216927611662,4842.169276116623,10,101
413,inf,-9093.444740701372,3484.44740701373,9,101
414,inf,-8659.9797512969,4149.797512969004,11,101
415,inf,-8777.010965814181,4820.109658141817,10,101
416,-inf,-9489.840178625273,3448.4017862527317,9,101
417,-inf,-9590.439587936562,3954.3958793656298,10,101
418,inf,-8314.601530136108,4196.01530136108,10,101
419,-inf,-9397.962153273107,3529.6215327310647,9,101
420,inf,-8266.414606658442,4214.146066584417,11,101
421,-inf,-9600.110573716798,4051.105737167986,10,101
422,inf,-8807.50392884613,3625.039288461309,9,101
423,inf,-8718.634385881202,4236.343858812021,10,101
424,-inf,-9269.4312150236,3744.3121502360073,10,101
425,inf,-8374.96548121751,4299.654812175102,11,101
426,-inf,-9202.142497081859,4071.4249708185826,10,101
427,-inf,-9656.595184629918,4615.951846299183,10,101
428,-inf,-9413.867722209117,4188.677222091168,10,101
429,inf,-7161.757101021552,4167.571010215523,11,101
430,-inf,-9174.59295361159,4795.929536115898,10,101
431,inf,-5517.163024334961,4221.630243349606,10,101
432,-inf,-9417.513052922268,4225.13052922268,10,101
433,-inf,-9979.300185303913,4843.001853039139,10,101
434,-inf,-10058.308369527575,3633.083695275753,8,101
435,inf,-5957.403564892005,4124.035648920052,11,101
436,inf,-8261.272843224626,4162.728432246268,11,101
437,-inf,-8780.083580203052,3850.8358020305345,10,101
438,-inf,-9883.092447664447,4880.924476644477,10,101
439,-inf,-9856.680986487525,3616.8098648752402,8,101
440,-inf,-9943.182352667427,3481.823526674264,8,101
441,-inf,-10139.307422607177,3443.0742260717566,8,101
442,-inf,-9395.177608252849,3501.776082528496,9,101
443,-inf,-9708.047124322344,3630.4712432234405,9,101
444,-inf,-10061.850066675555,3668.500666755553,8,101
445,inf,-8226.86146312602,3318.6146312602036,8,101
446,-inf,-9226.215386433223,3312.1538643322265,8,101
447,-inf,-9997.996918874132,4029.969188741323,10,101
448,inf,-8864.21661433622,4692.166143362194,10,101
449,-inf,-9303.533492455741,3585.334924557412,9,101
450,inf,-8462.108381126667,3671.083811266673,8,101
451,-inf,-9639.009402629885,4440.0940262988415,10,101
452,-inf,-9388.459807755537,4934.598077555358,10,101
453,-inf,-9666.34871153838,3713.4871153837944,8,101
454,-inf,-9866.680874987847,4716.8087498784835,10,101
455,-inf,-9916.995326027329,4219.9532602732925,10,101
456,inf,-9167.2301310871,4722.301310870998,10,101
457,inf,-9210.508476556926,4155.084765569259,10,101
458,inf,-8820.214011754542,4252.140117545427,10,101
459,-inf,-9718.145498822581,4231.454988225824,10,101
460,inf,-9115.150819132965,4201.508191329653,10,101
461,inf,-8764.591570272416,3695.915702724156,8,101
462,-inf,-9262.098872213284,4670.988722132839,10,101
463,-inf,-9863.547828087361,4685.478280873622,10,101
464,-inf,-9680.41045148968,4854.104514896807,10,101
465,inf,-9078.513866646705,4835.138666467044,10,101
466,-inf,-9889.819953402517,3448.1995340251674,9,101
467,-inf,-10303.508179166689,3585.0817916668802,9,101
468,inf,-9464.12232769451,4691.223276945088,10,101
469,-inf,-9497.294304158007,4022.943041580074,10,101
470,-inf,-9666.902535782634,4719.025357826337,10,101
471,-inf,-10073.193250368324,4781.932503683246,10,101
472,inf,-9175.45081126579,3304.5081126578875,9,101
473,-inf,-10012.427732128328,3674.2773212832853,9,101
474,inf,-8985.448278259752,4904.482782597521,10,101
475,-inf,-9510.629812351504,3656.2981235150455,9,101
476,-inf,-9956.781097409515,3617.8109740951486,8,101
477,inf,-8332.850584517211,4378.505845172108,10,101
478,inf,-8124.419700628103,4294.19700628102,10,101
479,inf,-4735.33851837248,4403.385183724801,10,101
480,-inf,-9715.787984628625,4707.879846286255,9,101
481,inf,-4992.657056562706,3976.5705656270657,10,101
482,inf,-5449.726567599384,4047.2656759938363,11,101
483,-inf,-8607.612886784875,4126.128867848738,10,101
484,-inf,-9162.113516597266,4171.135165972664,11,101
485,-inf,-10232.394598420276,4373.945984202757,10,101
486,-inf,-10046.98010970394,4519.801097039398,10,101
487,-inf,-9203.075031210095,3580.7503121009518,9,101
488,-inf,-9785.327195666303,4903.271956663034,10,101
489,-inf,-9508.053123363996,4130.531233639949,10,101
490,inf,-4937.50418644171,3925.041864417099,11,101
491,-inf,-9553.359464193029,4083.5946419302904,11,101
492,-inf,-9444.743572447136,3497.4357244713624,8,101
493,-inf,-9900.056854167267,5050.568541672675,10,101
494,-inf,-10030.63930663208,3856.3930663207975,9,101
495,inf,-8677.602842998263,4326.028429982638,11,101
496,inf,-5032.3230922585935,4373.23092258593,10,101
497,-inf,-9791.813978788088,3968.139787880881,10,101
498,-inf,-9363.639731307016,4686.397313070162,10,101
499,-inf,-9035.999313421304,3909.9931342130303,11,101
500,-inf,-9340.816770201067,3458.1677020106667,8,101
501,inf,-5402.100473753471,4071.004737534707,10,101
502,-inf,-9304.044967848426,3590.4496784842636,9,101
503,-inf,-9653.429048959764,4584.29048959764,10,101
504,-inf,-9648.936752484427,3539.3675248442696,8,101
505,inf,-8103.747175521308,3587.4717552130833,9,101
506,-inf,-10002.813090892174,5078.130908921731,10,101
507,-inf,-9006.855622395884,4118.556223958837,10,101
508,-inf,-9797.330598877874,3523.305988778733,9,101
509,-inf,-9360.245561132733,3652.455611327339,8,101
510,inf,-6898.013492761556,4030.134927615563,10,101
511,-inf,-9817.696569504007,4226.965695040076,10,101
512,-inf,-9219.77559703486,4247.755970348601,10,101
513,-inf,-10014.139343114031,3691.3934311403123,9,101
514,inf,-7073.360630878455,3783.6063087845473,10,101
515,-inf,-9574.084135916988,4790.841359169879,10,101
516,-inf,-9976.168555511744,4811.685555117441,10,101
517,inf,-8966.208509440497,4712.085094404973,10,101
518,-inf,-9554.755831357837,4597.5583135783745,10,101
